id,name,category,status,healthStatus,currentProject,note,subDevices
MM-TRIPODLIBEC-3,Libec,Tripod,AVAILABLE,GOOD,,,
MM-TRIPOD-MBFOTO-4,MBFOTO,Tripod,AVAILABLE,GOOD,,,
MM-TRIPOD-ULANZI-U190-5,Ulanzi U190 Pro,Tripod,AVAILABLE,GOOD,,,
MM-TRIPOD-SMALLRIG-6,Small Rig,Tripod,AVAILABLE,GOOD,,,
MM-SLIDER-YCONION-1,YC ONION,Slider,AVAILABLE,GOOD,,,
MM-CAMLINK-4K-1,CamLink 4K,CamLink,AVAILABLE,GOOD,,,
MM-CHARGE-LUMIX-1,Lumix (Single),Dock Charge,AVAILABLE,GOOD,,,
MM-CHARGE-LUMIXDual-2,Lumix (Dual),Dock Charge,AVAILABLE,GOOD,,,
MM-CHARGE-SONY-3,Sony,Dock Charge,AVAILABLE,GOOD,,,
MM-CHARGE-NP-4,NP,Dock Charge,AVAILABLE,GOOD,,,
MM-CHARGE-AAA4-5,AAA (4 slot),Dock Charge,AVAILABLE,GOOD,,,
MM-CHARGE-AAA4-6,AAA (4 slot),Dock Charge,AVAILABLE,GOOD,,,
MM-CHARGE-AAA4-7,AAA (4 slot),Dock Charge,AVAILABLE,GOOD,,,
MM-CHARGE-AAA8-8,AAA (8 slot),Dock Charge,AVAILABLE,GOOD,,,
